#datumDate,datumId,datumValue
2023-01-31,IR_SWAP/RATE/USD/SOFR/0D/1D/10Y,0.0324600000
2023-01-31,IR_SWAP/RATE/USD/SOFR/0D/1D/1M,0.0456640000
2023-01-31,IR_SWAP/RATE/USD/SOFR/0D/1D/1Y,0.0487100000
2023-01-31,IR_SWAP/RATE/USD/SOFR/0D/1D/2Y,0.0427805000
2023-01-31,IR_SWAP/RATE/USD/SOFR/0D/1D/30Y,0.0300290000
2023-01-31,IR_SWAP/RATE/USD/SOFR/0D/1D/3M,0.0468210000
2023-01-31,IR_SWAP/RATE/USD/SOFR/0D/1D/5Y,0.0346100000
2023-01-31,IR_SWAP/RATE/USD/SOFR/0D/1D/6M,0.0483440000
2023-01-31,MM/RATE/USD/SOFR/0D/1D,0.0430000000
